Site	Latitude	Longitude	Location	Country	Province	Material	Bibliography
Carmona	37.471111	-5.642222	Seville province	Spain	Baetica	Sandstone; used locally in the RomanImperial period	Cisneros Cunchillos 1988
Carrara	44.092500	10.126667	Northern Tuscany, in theApuan Alps	Italy	Italia VII	White marbles of various qualities (statuario, ordinario, calacata, chiaro), several veined and a blue-grey variety with dark veins (bardiglio); usedlocally from Etruscan period and widely exported in Roman Imperial period	Banti 1931; Gnoli 1988: 265; Mielsch1985: 61-62; Dolci 1980; Dolci 1981; Dolci 1988
Carrera delCaballo	37.015837	-4.762155	North-west of Corduba	Spain	Baetica	Limestone, used locally in the Roman period	Gutiérrez Deza 2012
Carthage	36.864527	10.338814	Near Hamilcar station, just north of Carthage	Tunisia	AfricaProconsularis	Sandstone, used locally throughout antiquity	Bullard 1978
Casa Blanca	38.888687	-6.286010	7 km south-east ofMérida	Spain	Lusitania	Grey granite, used locally and perhaps exported regionally in the Roman period	Pizzo 2010
Cassis	43.215556	5.538889	South of Marseille	France	Narbonensis	Limestone; used locally in the RomanImperial period	Bedon 1984: 77, 89
Castel Porziano	41.744167	12.402778	East of Ostia	Italy	Italia I	Tuff; used locally in the Roman period.	Lanciani 1903: 175-176
Castellví deRosanes	41.450186	1.899566	3 km south-west ofMartorell	Spain	Tarraconensis	Red and white sandstones, used locally and perhaps exported regionally	Àlvarez and Pitarch 2012
Castelnuovo dell’Abate	42.993271	11.515564	39 km south of Siena	Italy	Italia VII	Alabaster, exported regionally in theRoman period	Lazzarini et al. 2012
Castrimoenium	41.769722	12.658889	Modern Marino, in theAlban Hills	Italy	Italia I	Tuff (lapis albinus or peperino); used locally from Archaic period	Heiken, Funiciello and Di Rita 2005
Cavae Romanae	44.839864	13.859668	Near Vinkuran, 5 km south-east of Pula	Croatia	Italia X	Limestone; used locally in the RomanImperial period	Džin 2012
Cavallo	41.361730	9.263035	South tip of the island off southern Corsica	France	Sardinia etCorsica	Grey granite; used locally and exported regionally in the Roman period	Wilson 1988: 108-109
Cave-Hardy	36.575040	2.090717	Near the Cave Hardy villa, between Hadjret- en-Nous and Cherchel	Algeria	MauretaniaCaesariensis	Limestone; used locally in the RomanImperial period	Leveau 1984: 294-295
Cernavoda	44.352389	28.040771	In Dobroudja province	Romania	MoesiaInferior	Limestone; used locally in the RomanImperial period	Florescu 1936: 40-44; Florescu 1937:111-113
Cerro Redondo	40.948101	-1.926120	Pardos, Zaragoza province	Spain	Tarraconensis	Limestone (?); used locally in theRoman Imperial period	Cisneros Cunchillos 1988
Chalon-sur-Saône	46.784160	4.853201	On the Saône north ofLyon	France	Lugdunensis	Sandstone; used locally in the RomanImperial period	Bedon 1984: 32, 54
Chamaray	44.353224	4.771876	Near Saint-Paul-Trois- Châteaux	France	Narbonensis	Limestone; used locally in the RomanImperial period	Bedon 1984: 32
Chancelade	45.210833	0.668611	Near Périgueux	France	Aquitania	Limestone; used locally in the RomanImperial period	Bedon 1984: 62
Charly	46.899069	2.748029	South-east of Bourges	France	Aquitania	Limestone; used locally in the RomanImperial period	Bedon 1984: 60, 89
Chartres	48.450784	1.488935	South-west of Paris	France	Lugdunensis	Limestone; used locally in the RomanImperial period	Bedon 1984: 76
Château-Chinon	47.063838	3.936915	West of Autun	France	Lugdunensis	A variety of schist and another of marble; used locally in the Roman period	Bouthier 2004
Châtillon-sous- les-Côtes	49.145766	5.524699	West of Pont-à-Mousson	France	Belgica	Limestone; used locally in the RomanImperial period	Bedon 1984: 38
Chemtou	36.492500	8.576667	Ancient Simittus, nearJendouba	Tunisia	AfricaProconsularis	Several varieties of golden yellowoften marble (giallo antico), some with lighter shades, pink-red veins and grey angular inclusions; exported regionally and inter-regionally in the Roman Imperial period	Dubois 1908: 31-35; Mielsch 1985:56; Gnoli 1988: 166-168; Rakob1993; Rakob 1994a; Rakob 1994b; Rakob 1995a; Rakob 1995b; Rüger1997; G. Röder 1988
Chénoua	36.586389	2.433056	Near Tipasa	Algeria	MauretaniaCaesariensis	Violet marble; used locally in Roman period	Barrington Atlas 30 (D3)
Cheraf	35.599612	11.029461	3.7 km south-west ofThapsus	Tunisia	AfricaProconsularis	Limestone; used locally in the RomanImperial period	Younès, Gaied and Gallala 2012
Chercos	37.270000	-2.254722	Almería province	Spain	Tarraconensis	Marble; used locally in the RomanImperial period	Cisneros Cunchillos 1988
Chester	53.191944	-2.894722	North-western Cheshire	Britain	Britannia	Sandstone; used locally in the RomanImperial period	Pearson 2006
Chevigny	47.503438	3.304470	North-east of Entrains- sur-Nohain	France	Lugdunensis	Limestone; used locally in the RomanImperial period	Bedon 1984: 74
Chianocco	45.148142	7.168839	Just east of Susa	Italy	Alpes Cottiae / Italia XI	White-cream marble, used locally in the Roman period	Betori, Gomez Serito and Pensabene2009
Choridaki Valley	37.079722	25.183611	South-west of Marathi and east of the village of Choridaki, central Paros	Greece	Achaia	White, sometimes grey, marble(marmor parium, paria lithos or Paros-2), coaser than Paros-1; widely exported in Roman period and earlier	Lepsius 1890; Herz 2000; Dworakowska 1975; Schilardi 2000
Cibyra	37.159238	29.493357	In northern Lykia, north of Balboura	Turkey	Lycia etPamphylia	Grey-white limestone; used locally in the Roman Imperial period and probably earlier	Money 1990: 38
Cier-de-Rivière	43.066389	0.633333	North-east of St-Bertrand	France	Aquitania	Marble; used locally in the RomanImperial period and possibly regionally	Bedon 1984: 66, 76
Çiğri Dağ	39.741389	26.241667	In the western Troad, just inland from Alexandria Troas	Turkey	Asia	Medium-grained grey-violet granite (granito violetto or granito della Troade); used locally from Classical period and widely exported in the Roman Imperial period	Mielsch 1985: 68; Gnoli 1988: 152-153; Cook 1973: 14; Ponti 1995
Circeo	41.232500	13.052778	South-western Lazio	Italy	Italia I	Alabaster (alabastro bianco e cotognino); probably exported regionally in the Roman period	Lazzarini and Sangati 2004: 76-77; Bruno 1998b; Bruno 2002b
Cirencester	51.646389	-2.043333	Gloucestershire	Britain	Britannia	Limestone; used locally in the RomanImperial period	Pearson 2006
Clamart	48.799363	2.262394	South of Paris	France	Lugdunensis	Limestone; used locally in the RomanImperial period	Bedon 1984: 73
Clots de SantJulià	41.965262	3.074769	Just east of Girona	Spain	Tarraconensis	Sandstone (pedra dels Clots), used locally in the Roman period	Gutiérrez 2009: 43–54
Coín	36.656389	-4.760278	Malaga province	Spain	Baetica	Three varieties of dolomitic marble, one bluish-grey, one cloudy green, one white; used locally and exported regionally in the Roman Imperial period	Cisneros Cunchillos 1988: 74; Lapuente et al. 2002; Àlvarez et al.2009a: 108–10
Colaride	38.772104	-9.286267	Just north-west of Lisbon	Portugal	Lusitania	Limestone; used locally in the RomanImperial period	Coelho 2008
Corinth	37.906389	22.878611	Beneath the Odeon in the centre of the city	Greece	Achaia	Limestone; used locally from theArchaic period and exportedregionally, to Delphi and Epidauros for example	Broneer 1932: 16
Cortijo dePinedilla	37.041739	-4.696533	Near Bobadilla, Malaga province	Spain	Baetica	Sandstone; used locally in the RomanImperial period	Cisneros Cunchillos 1988
Cottanello	42.410556	12.684167	Near Rieti, Lazio	Italy	Italia IV	Marble (cottanello antico); exported regionally in the Roman Imperial period	Lazzarini and Sangati 2004: 76-77; Bruno 2002b
Courthézon	44.086307	4.884054	South of Orange	France	Narbonensis	Limestone; used locally in the RomanImperial period	Bedon 1984: 40, 90
Coves de laPedrera	41.141025	1.240189	Just north of Tarragona	Spain	Tarraconensis	Limestone (pedra de los Coves orsoldó), used locally	Gutiérrez 2009: 191–7
Coves del Llorito	41.138746	1.267733	Just north-east ofTarragona	Spain	Tarraconensis	Limestone (pedra del Llorito), used locally in the Roman period	Gutiérrez 2009: 185–91
Crowdundle	54.655263	-2.985972	South-east Cumbria, just north of Kirkby Thore	Britain	Britannia	Limestone; used locally in the Roman Imperial period, notably for construction along Hadrian's Wall	Pearson 2006; Collingwood andWright 1965
Crussol	44.945782	4.844178	Near Valence	France	Narbonensis	Limestone; used locally in the RomanImperial period	Bedon 1984: 57
Cuarto de la Jara	39.011278	-6.394043	Near Mérida	Spain	Lusitania	Grey granite; used locally in theRoman Imperial period	Dworakowska 1983: 15; Canto 1977-1978: 179
Cuevas delPuente de Hierro	37.925012	-4.775955	North-east of Corduba	Spain	Baetica	Limestone, used locally throughout theRoman period	Gutiérrez Deza 2012
Dakhla Oasis	25.669170	28.834170	Near El-Qasr, WesternDesert	Egypt	Aegyptus	Fine grained sandstone and limestone;used locally from the Pharaonic period	Klemm and Klemm 2008: 328-330
Damascus	33.517500	36.293611	Southern Syria	Syria	Syria	Gypsum; mentioned by Pliny the Elder (XXXVI.24) and probably used locally in the Roman Imperial period	Dworakowska 1983: 13
Damparis	47.077287	5.412280	Near Dôle	France	GermaniaSuperior	Marble; used locally in the RomanImperial period	Bedon 1984: 23, 107
Dardagani	44.391595	19.105384	Near Zvornik	Bosnia	Dalmatia	Limestone; used locally in the Roman Imperial period and exported regionally	Djurić et al. 2006; Djurić et al. 2012
Degla	36.949310	10.826424	South-west of the tip ofCap Bon	Tunisia	AfricaProconsularis	Sandstone; used locally from theRoman Imperial period	Paskoff and Trousset 2004: 187-8
Deir Abu Hennis	27.785556	30.901667	Near Deir Abu Hinnis	Egypt	Aegyptus	Limestone; used locally from thePharaonic to the Coptic periods	Klemm and Klemm 2000: 85-89
Deleni	44.102536	27.955032	Near Adamklissi	Romania	MoesiaInferior	Limestone; used locally in the Roman Imperial period, notably for the Adamklissi monument	Dworakowska 1983: 20; Rădulescu1972
Delphi	38.481111	22.490278	Just west of Delphi	Greece	Achaia	Marble; used locally from the Archaic period	Bommelaer 1991
Denizli	37.771389	29.084444	Near ancient Laodicea- on-the-Lykos, Phrygia	Turkey	Asia	Grey-white marble, used locally and regionally from the Hellenistic period onwards	Attanasio 2003: 171
Devín	48.177518	16.980149	North-east ofCarnuntum, Austria	Austria	PannoniaSuperior	Limestone, used locally in the Roman period	Pivko 2012
Dinant	50.260720	4.910771	South-east of Charleroi	Belgium	Belgica / Germania Inferior	Black limestone; used locally and exported regionally in the Roman period	Groessens 1991
Diou	46.533651	3.740864	West of Autun	France	Lugdunensis	Marble; used locally in the RomanImperial period	Bouthier 2004
Djebel Akhdar	32.823611	21.851944	Near ancient Cyrene	Libya	Creta etCyrene	Limestone; used locally in the RomanImperial period	Busdraghi and Gessaroli 2006
Djebel Ayari	36.884713	10.165549	Just north of Tunis	Tunisia	AfricaProconsularis	Limestone, used locally in the Roman period	Bullard 1978
Djebel Aziz	36.498333	9.885000	Central north-eastern Tunisia, south of Carthage	Tunisia	AfricaProconsularis	Fine-grained black marble (nero antico) with occasional grey-white inclusions or angular veins; widely exported in the Roman Imperial period, particularly to Rome	Lazzarini and Sangati 2004: 76-77; Mielsch 1985: 57; Gnoli 1988: 193-194; Ward-Perkins 1951: 90; Dworakowska 1983: 12, 59; Agus et al. 2006
Djebel Djelloud	36.757805	10.205386	Southern edge of Tunis	Tunisia	AfricaProconsularis	Limestone, used locally in the Roman period	Bullard 1978
Djebel el Hamra	36.382522	10.424818	16 km east of Segermes, east of Zaghouan	Tunisia	AfricaProconsularis	Limestone, still quarried today; used locally in the Roman Imperial period	Ørsted 2000: 160-161; Zaugger 1995:60-62
Djebel er Rorouf	36.730727	10.326339	Near Hamman Lif, south of Tunis	Tunisia	AfricaProconsularis	Limestone, used locally in the Roman period	Bullard 1978
Djebel Filfila	36.895833	7.103889	23 km from Philippeville	Algeria	Numidia	White and black varieties of marble; used locally in Roman period and probably exported regionally	Toubal 1995: 57-61; Herrmann et al.2012
Djebel Ichkeul	37.123611	9.655833	In the Northern Tell	Tunisia	AfricaProconsularis	Sandy-yellow marble, often used as substitute for giallo antico; used locally and possibly exported regionally in the Roman Imperial period	Rakob 1995b, 64-65
Djebel Keddel	36.692966	10.384013	Between Carthage and Cap Bon, now quarried near the town of Borj Cedria	Tunisia	AfricaProconsularis	Limestone; used locally from the Punic period	Ferchiou 1976; Dworakowska 1983:13-14
Djebel Kleb	36.390364	9.877395	2.5 km west of ThuburboMaius	Tunisia	AfricaProconsularis	Dark grey limestone, used locally and exported regionally in the Roman period	Bullard 1978
Djebel Orousse	35.863333	-0.418333	Just east of Oran	Algeria	MauretaniaCaesariensis	Yellow marble, similar to giallo antico;used locally in Roman Imperial period	Dworakowska 1983: 14
Djebel Oust	36.354167	10.377222	35 km south of Tunis	Tunisia	AfricaProconsularis	Dark red and pink alabaster (alabastro del Gebel Oust) often with strips  of yellow ochre or cream-white; used locally and exported regionally in the Roman Imperial period	Mielsch 1985: 40: Gnoli 1988: 227; Agus et al. 2006
Djebel Raouass	36.406667	9.870556	Close to ThuburboMaius	Tunisia	AfricaProconsularis	Limestone; used locally in the RomanImperial period	Dworakowska 1983: 14
Djebel Zit	36.526469	10.290297	North of the Segermes valley, north-east of Zaghouan	Tunisia	AfricaProconsularis	Sandstone; used locally in the RomanImperial period	Ørsted 2000: 160-161; Zaugger 1995:60-62
Djeradou	36.286674	10.309164	6 km south of Segermes, south-east of Zaghouan	Tunisia	AfricaProconsularis	Fine limestone, still quarried today; used in the Roman Imperial period at nearby Segermes	Ørsted 2000: 160-161; Zaugger 1995:60-62
Djilia	37.007462	10.902399	Near Sidi Daoud	Tunisia	AfricaProconsularis	Sandstone; used locally in the RomanImperial period	Paskoff and Trousset 2004: 184-185
Doliana	37.454167	22.421111	In the territory of Tegea, Arcadia	Greece	Achaia	Dark-grey, almost black recrystallised limestone (marmo di Tegea or di Doliana); used locally from Classical period	Braemer 1986
Doliche	37.061111	37.391111	Just north of Gazientep, Commagene	Turkey	Galatia etCappadocia	Limestone; used locally in the RomanImperial period	Ergeç 2003
Dolno Ujno	42.417354	22.582392	Just west of Blagoevgrad	Bulgaria	Thracia / Moesia Superior	Marble; used locally in the RomanImperial period	TIR Naissus 46
Domeny	41.990455	2.759527	In Girona	Spain	Tarraconensis	Sandstone (pedra dels Clots), used locally in the Roman period	Gutiérrez 2009: 66–70
Drachenfels	50.666618	7.216741	East of Bonn, nearKonigswinter	Germany	GermaniaInferior	Tuff; used locally in the RomanImperial period	Dworakowska 1983: 17; J. Röder1974; Lukas 2002
Drama	41.153929	24.163761	North of Kavala in ancient Macedonia	Greece	Macedonia	Dark-grey or black marble; used locally in the Roman Imperial period	Bruno and Pallante 2002
Dramont	43.415000	6.853611	Just east of Boulouris	France	Narbonensis	Light blue-grey porphyry (porfido bigio or granito a morviglione) with white, pink, grey and blue flecks; used locally from Archaic period; exported further sporadically and then only to Rome	Mielsch 1985: 66; Gnoli 1988: 140-141; Bedon 1984; Mazeran 2004
Dundry Hill	51.728937	-2.144166	South-east of Stroud, Gloucestershire	Britain	Britannia	Limestone; used locally in theHellenistic and Roman periods	Pearson 2006; Stanier 2000: 13
Dura Europos	34.746014	40.729416	In and around the city ofDura Europos	Syria	Syria	Limestone; used locally in the RomanImperial period	Bessac 2005
Edessa	40.801944	22.053056	North-west of Olympos in Macedonia	Greece	Macedonia	Marble; used locally in the RomanImperial period	Braemer 1986
El Berrocal	38.872101	-6.330432	Near Mérida	Spain	Lusitania	Grey granite, used locally and perhaps exported regionally in the Roman Imperial period	Cisneros Cunchillos 1988; Pizzo 2010
El Gaaphra	24.301944	32.901944	26 km north of Aswan	Egypt	Aegyptus	Sandstone; used locally from the Pharaonic period, mainly in the Ptolemaic and Roman periods	Klemm and Klemm 2008: 202-203
El Ghedamsi	35.750465	10.828859	Just south of Monastir	Tunisia	AfricaProconsularis	Sandstone; used locally in the RomanImperial period	Paskoff and Trousset 2004: 157
El Hannaker	36.921523	11.099323	Just south-east of the tip of Cap Bon	Tunisia	AfricaProconsularis	Sandstone; used locally in the RomanImperial period	Paskoff and Trousset 2004: 182
El Haouaria	37.059167	10.995278	Close to the tip of CapBon	Tunisia	AfricaProconsularis	Sandstone; used locally and exported regionally from the Punic period through to the Roman, especially to Carthage	Harrazi 1995; Rakob 1984; Rakob1995b; Paskoff and Trousset 2004:183
El Hôsh	24.644167	32.928611	12 km north of Silsila	Egypt	Aegyptus	Sandstone; used locally from Ptolemaic times and certainly in the Romanperiod - a number of Greek inscriptions are known, the latest datable to thereign of Antoninus Pius	Fitzler 1910: 103; Dworakowska1983: 49-50; Klemm and Klemm2008: 176-177
El Kilh	25.065278	32.868611	12 km north of Edfu	Egypt	Aegyptus	Fine-grained sandstone; used locally, mainly in the Ptolemaic and Roman period	Klemm and Klemm 2008: 174
El Llorito	41.127086	1.268288	Just east of Tarragona	Spain	Tarraconensis	Yellow-pink limestone (pedra de Santa Tecla and llisós), used locally in the Roman period, mainly at Tarragona itself	Mayer and Rodà 1998: 229; Gutiérrez2009: 208–21; Àlvarez et al. 2009b;Àlvarez et al. 2009c
El Maabda	27.335000	30.018889	10 km north-west ofAbnub, near Assiut	Egypt	Aegyptus	Light grey-yellow limestone; used locally from the late Pharaonic to the Coptic period	Klemm and Klemm 2008: 106-109
El Médol	41.173889	1.281111	North of Tarragona	Spain	Tarraconensis	Limestone (pedra del Médol); used locally in the Roman period	Canto 1977-1978; Mayer 1998; Gutiérrez 2009: 146-58; Àlvarez et al.2009a: 38–43
El Mex(Mareotis)	31.101667	29.784167	A number of quarries down the coast immediately west of Alexandria	Egypt	Aegyptus	Limestone; used locally in thePtolemaic and Roman periods	Dworakowska 1983: 10; J. Röder1967; Klemm and Klemm 2008: 36-39
El Saweita	28.366667	30.785556	Just south of Matai, on the east side of the Nile	Egypt	Aegyptus	Limestone and calcitic alabaster; used locally from the Pharaonic period and probably up until the Roman period but less intensively	Klemm and Klemm 2008: 60-63, 152
El Torcal(Antequera)	36.972484	-4.591461	Just south of Antequera	Spain	Baetica	White, pink, and red-pink limestones	Beltrán et al. 2012
Eldeniz	38.538805	29.725652	South-east of Uşak, near ancient Sebaste, Phrygia	Turkey	Asia	Grey-white marble; used locally and exported regionally in the Roman period	Pralong 1980; Asgari 1981; Waelkens, de Paepe and Moens 1986
Els Munts	41.146606	1.396374	16 km east of Tarragona	Spain	Tarraconensis	Limestone (pedra d’Altafulla); used locally in the Roman Imperial period	Cisneros Cunchillos 1988; Mayer1998; Gutiérrez 2009: 138–41
Emboune	43.287741	3.521955	Near Agde, at the mouth of the river Herault	France	Narbonensis	Basalt; used locally in the RomanImperial period	Bedon 1984: 34
Enesh	37.053056	37.866389	Near Zeugma on theEuphrates	Turkey	Galatia etCappadocia	Limestone; used locally in the Roman Imperial period, quarried by legionary detachments	Cumont 1917; Dworakowska 1983:28
Enfé	34.357707	35.731063	13 km south-west ofTripoli	Lebanon	Syria	Limestone and sandstone, used locally in the Roman period	Badawi 2002
Ereño	43.360731	-2.625732	25 km north-east ofBilbao	Spain	Tarraconensis	Red and white recrystalised limestone, exported regionally in the Roman period	Àlvarez et al. 2009a: 50–3
Eretria	38.403889	23.780833	Central southern Euboea	Greece	Achaia	Pink-grey recrystallised limestone (fior di pesco or marmor chalcidicum) with areas of red, brown, white and violet; used locally from the Archaic period and exported widely in the Roman Imperial	Mielsch 1985: 57; Gnoli 1988: 184-6; Lazzarini et al. 2002a
Ersifet	33.562186	10.950200	Just south of Jerba	Tunisia	AfricaProconsularis	Sandstone; used locally in the RomanImperial period	Paskoff and Trousset 2004: 102-103
Escúzar	37.065000	-3.762778	Granada province	Spain	Baetica	Sandstone; used locally in the RomanImperial period	Cisneros Cunchillos 1988
Espejón	41.830713	-3.259775	160 km north of Madrid	Spain	Tarraconensis	Red and yellow limestone, exported regionally in the Roman period	Àlvarez et al. 2009a: 54–9; Salán2012
Estremoz	38.845833	-7.590278	Central eastern Portugal	Portugal	Lusitania	White marble, used locally and exported across central and southern Spain in the Roman Imperial period	Cisneros Cunchillos 1988; Fusco and Mañas 2006; Lamberto and Sá Caetano 2008
Examilia	37.897049	22.927994	South-east of Corinth	Greece	Achaia	Oolitic limestone, used locally and perhaps exported regionally in the Roman period	Hayward 1999
Exeter	50.721667	-3.533889	Eastern Devon	Britain	Britannia	Red basalt; used locally in the RomanImperial period	Blagg 1990
Farafra Oasis	27.351940	28.418890	50 km north of Qasr El- Farafra, Western Desert	Egypt	Aegyptus	Chalky limestone; used locally in theRoman period	Klemm and Klemm 2008: 328
Farm Quarry’	37.929840	27.385260	5 km east of Ephesos	Turkey	Asia	White marble, used locally in theRoman period	Yavuz, Bruno and Attanasio 2011
Farnham	51.214546	-0.795947	In the Weald, south-eastEngland	Britain	Britannia	Probably the source of the Lower and Upper Greensands (silicified glauconitic quartz sandstones) used at Silchester	Wooders 2000: 84-86
Fay	45.658931	5.666800	Near Peyrieu	France	Narbonensis	Limestone; used locally in the RomanImperial period, particularly from the1st century AD	Bedon 1984: 32, 55
Felsberg	49.727708	8.690726	15 km south ofDarmstadt	Germany	GermaniaSuperior	Grey granite, exported regionally in theRoman period	J. Röder 1992
Fertörákos	47.721975	16.647872	7 km north-east ofScarbantia, Hungary	Hungary	PannoniaSuperior	Limestone, used locally in the Roman period	Pivko 2012
Fidenae	41.978611	12.511111	North-east of Rome	Italy	Italia I	Tuff (tufo rosso a scorie nere); used locally from the Archaic period, primarily at Rome	Heiken, Funiciello and Di Rita 2005
Flacé	46.325870	4.827123	South of Tournus	France	Lugdunensis	Limestone; used locally in the RomanImperial period	Bedon 1984: 28, 89
Flix	41.226667	0.544722	60 km west of Tarragona	Spain	Tarraconensis	Sandstone; used locally in the RomanImperial period	Cisneros Cunchillos 1988; Gutiérrez2009: 247–9
Fontaines-sur- Marne	48.546857	5.102234	Near Bar-le-Duc	France	Lugdunensis / Belgica	Limestone; used locally in the RomanImperial period	Bedon 1984: 51
Fontvieille	43.726944	4.710000	North-east of Arles	France	Narbonensis	Limestone; used locally in the RomanImperial period	Bedon 1984
Fourvières	45.763698	4.824807	Near Lyon	France	Lugdunensis	Granite; used locally in the RomanImperial period	Audin and Burnand 1975
Franclens	46.042620	5.829268	Near Seyssel, south-west of Geneva	France	Lugdunensis	Fine white limestone; used locally and exported regionally in the Roman Imperial period, primarily to Lugdunum	Bedon 1984: 33, 55-56
Fruška-Gora	45.166032	19.667591	Near Sirmium on theDanube	Serbia	PannoniaInferior	Porphyry; used locally in the Roman Imperial period and perhaps exported regionally but the extent of activity at the site remains unclear	Fant 1990: 101; Peacock 1995
Gabii	41.887222	12.715278	In the Valle Castiglione	Italy	Italia I	Tuff (lapis Gabinus or peperino); used locally from the Republican period, primarily at Rome	Heiken, Funiciello and Di Rita 2005
Gádor	36.954360	-2.492822	13 km north of Almeria	Spain	Tarraconensis	Limestone; used locally in the RomanImperial period	Cisneros Cunchillos 1989-90
Galgenberg	47.373586	15.248897	Near Leoben	Austria	Noricum	White marble, used locally in theRoman period	Djurić and Müller 2009
Gammarth	36.853333	10.323333	Near Tunis	Tunisia	AfricaProconsularis	Sandstone; used locally in the RomanImperial period	Paskoff and Trousset 2004: 193-4
Garraf	41.252879	1.900443	7 km east of Sitges	Spain	Tarraconensis	Limestone; used locally in the RomanImperial period	Cisneros Cunchillos 1988; Gutiérrez2009: 253
Gaurion	37.889444	24.734444	West Andros	Greece	Achaia	Marble; used locally in the Roman period, and possibly earlier	Barrington Atlas 57 (C4)
Gebel el-Ahmar	30.054167	31.285556	East Cairo	Egypt	Aegyptus	Quartzite; used locally from thePharaonic period	Klemm and Klemm 1993
Gebel el-Silsila	24.650278	32.918333	18 km north of KomOmbo	Egypt	Aegyptus	Fine- to medium-grained sandstone; used in large quantities locally and regionally from the Pharaonic period and in especial quantities in the Ptolemaic and Roman periods	Dworakowska 1983: 10; Klemm andKlemm 2008: 180-201
Gebel Gulab	24.111111	32.873889	West of Aswan	Egypt	Aegyptus	Quartzite; used locally and probably exported regionally from Pharaonic times to the Roman period and later	Klemm and Klemm 2008: 219-228; Heldal et al. 2005
Gebel Tar, Palmyra	34.547500	38.278611	5 km north-west ofPalmyra	Syria	Syria	Granite; used locally in the RomanImperial period, primarily at Palmyra	Schmidt-Colinet 1990
Gebel Tingar	24.085167	32.865694	West of Aswan	Egypt	Aegyptus	Quartzite; used locally and probably exported regionally throughout antiquity	Klemm and Klemm 2008: 219-228; Heldal et al. 2005
Gebze	40.799167	29.437778	Just east of Istanbul, Bithynia	Turkey	Bithynia etPontus	Limestone; used locally from at least the Hellenistic period	Dodge 1988: 71
Gemlik	40.427500	29.159722	On the Sea of Marmara north of Bursa, Bithynia	Turkey	Bithynia etPontus	Marble; used locally from at least theHellenistic period	Dodge 1988: 71
Gerasd	46.112209	18.199735	Near Pécs	Hungary	Pannonia Superior / Pannonia Inferior	Porphyry; used locally in the RomanImperial period	Simonyi 1960
Gerence	38.403979	26.500986	On the Karaburum peninsula	Turkey	Asia	Pink and white breccia (broccatellone), probably exported regionally or inter- regionally in the Roman period	Bruno et al. 2012
Germolles	46.814829	4.749401	North of Saint-Boil	France	Lugdunensis	Limestone; used locally in the RomanImperial period	Bedon 1984: 35, 89
Ghar El Oug	35.471773	11.010564	South-west of Mahdia	Tunisia	AfricaProconsularis	Limestone; used locally in the RomanImperial period	Younès and Ouaja 2009
Ghar SebâaSbaya	35.678131	10.868318	Near Leptiminus	Tunisia	AfricaProconsularis	Limestone; used locally in the RomanImperial period	Younès and Ouaja 2009
Ghar SidiMessaoud	35.516225	11.033267	Near Mahdia	Tunisia	AfricaProconsularis	Limestone; used locally in the RomanImperial period	Younès and Ouaja 2009
Ghar Tbiba	35.525976	11.026960	Near Mahdia	Tunisia	AfricaProconsularis	Limestone; used locally in the RomanImperial period	Younès and Ouaja 2009
Ghirza	30.949804	14.556146	In the central Libyan pre- desert	Libya	AfricaProconsularis	Limestone; used locally in the RomanImperial period	Chiesa 1949: 28
Ghlastropi	37.399444	25.266389	On Delos	Greece	Achaia	Grey marble; used locally from at least the Classical period.	Higgins and Higgins 1996: 173-174
Gilly-sur-Loire	46.539038	3.775782	West of Autun	France	Lugdunensis	Marble; used locally in the RomanImperial period	Bouthier 2004
Glanum	43.773611	4.833333	Just south of Saint- Rémy-de-Provence	France	Narbonensis	Limestone; used locally from theClassical or Hellenistic period	Dworakowska 1983: 16
Glince	46.052503	14.506344	Local quarry in the territory of Emona (Ljubljana)	Slovenia	PannoniaSuperior	Limestone; used locally in the RomanImperial period	Djurić 1997
Glyfada	40.781648	24.675843	Just west of Limenas, Thasos	Greece	Macedonia	Grey marble, used locally throughout antiquity	Wurch-Koželj and Koželj 2009
Godella	39.522011	-0.417211	Valencia province	Spain	Tarraconensis	Limestone; used locally in the RomanImperial period	Cisneros Cunchillos 1988
Gökcealan	38.219512	28.519930	15 km south of Alaşehir	Turkey	Asia	White marble, used locally in theRoman period	Bruno et al. 2012
Göktepe	37.515601	28.794195	Near Kale, north-east ofMuğla, in Karia	Turkey	Asia	Black and white marble; exported regionally and inter-regionally in the Roman Imperial period	Attanasio, Bruno and Yavuz 2009; Yavuz et al. 2009
Gölemezli	38.000344	29.016703	North of Hierapolis, Phrygia	Turkey	Asia	Yellow and pink alabaster (alabastro fiorito) with  white, brown and red stripes; used locally and exported widely in the Roman Imperial period and possibly earlier	Mielsch 1985: 37-38: Gnoli 1988:223-225; Bruno 2002a; Lazzarini and Sangati 2004: 76-77; Scardozzi 2010; Scardozzi 2012
Göllüce	38.087100	27.487050	22 km north-east ofEphesos	Turkey	Asia	White marble, used locally and perhaps regionally in the Roman period	Yavuz, Bruno and Attanasio 2011
Göynükören	39.235556	29.767500	In the Upper Tembris valley, 90 km north-west of Iscehisar and 15 km north-east of Aezani, Phrygia	Turkey	Asia	Two varieties of marble, one white and one similar to pavonazzetto (breccia pavonazza di Ezine); used locally inthe Roman Imperial period	Mielsch 1985: 50; Gnoli 1988: 240; Waelkens 1986; Waelkens 1990b, 67-68; Lazzarini et al.1985: 49-50
Gözler	38.110826	29.157840	20 km north ofHierapolis in Phrygia	Turkey	Asia	Marble; used locally from theHellenistic period	Bruno 2002a, 23; Scardozzi 2010; Scardozzi 2012
